Station ID,sensorelv,marshelv
CRMS0488-H01,0.35,1.66
CRMS0488-H02,-1.19,1.454
CRMS0489-H01,-0.01,1.221
CRMS0490-H01,-0.32,1.332
CRMS0493-H01,-0.69,1.45
CRMS0493-H02,-0.97,1.397
CRMS0494-H01,,
CRMS0494-H02,-0.16,1.009
CRMS0496-H02,-2.07,1.317
CRMS0498-H01,-0.7,0.552
CRMS0498-H02,,
CRMS0499-H01,-1.12,1.021
CRMS0501-H01,-1.78,0.718
CRMS0504-H01,-0.71,0.502
CRMS0507-H01,-0.98,0.476
CRMS0508-H01,-0.26,1.001
CRMS0508-H02,-0.41,0.628
CRMS0511-W01,-1.25,-0.18
CRMS0511-H01,-1.09,-0.18
CRMS0511-H02,-1.46,-0.176
CRMS0513-H01,0.22,1.397
CRMS0514-H02,-2.09,1.412
CRMS0517-H01,-3.36,1.539
CRMS0520-H01,-2.69,1.06
CRMS0522-W01,-0.9,0.331
CRMS0522-H01,-2.08,0.721
CRMS0523-H01,-1.89,1.243
CRMS0524-W01,0.01,0.86
CRMS0524-H01,-2.2,1.112
CRMS0527-H01,-0.54,1.279
CRMS0527-H03,-1.07,1.306
CRMS0529-H01,0.31,1.083
CRMS0529-H02,-1.29,1.069
CRMS0530-W01,-0.14,1.106
CRMS0530-H01,-1.14,0.73
CRMS0531-H01,-2.31,1.48
CRMS0532-H01,-1.99,1.495
CRMS0535-H01,-2.22,1.231
CRMS0536-W01,-0.12,0.239
CRMS0536-H01,0.01,0.437
CRMS0541-H01,-2.05,1.261
CRMS0542-H01,-2.58,
CRMS0543-H01,-0.33,1.727
CRMS0543-H02,-1,1.547
CRMS0544-H01,-1.06,1.147
CRMS0544-H02,-1.45,1.289
CRMS0545-H01,-1.31,0.997
CRMS0547-H01,-1.83,1.208
CRMS0549-H01,0.17,2.148
CRMS0549-H02,-2.07,1.683
CRMS0549-H03,-1.63,1.496
CRMS0550-H01,-1.84,1.513
CRMS0551-H01,-0.17,1.821
CRMS0552-H01,-1.17,0.965
CRMS0552-H02,-1.64,1.148
CRMS0553-H01,-0.73,0
CRMS0553-H02,-1.04,-0.079
CRMS0554-H01,-0.99,-0.185
CRMS0556-H01,-1.6,0.073
CRMS0557-H01,0,0.368
CRMS0560-H01,-1.15,0.216
CRMS0562-H01,-1.02,-0.27
CRMS0565-H01,-1.76,0.13
CRMS0567-H01,-0.32,0.091
CRMS0570-H01,-0.88,-0.726
CRMS0570-H02,-1.08,-0.638
CRMS0571-H01,-0.69,0.41
CRMS0572-H01,-0.64,0.352
CRMS0574-H01,-0.33,0.151
CRMS0574-H02,-0.6,0.116
CRMS0575-H01,-3.06,0.236
CRMS0576-H01,0.14,0.344
CRMS0580-H01,-0.66,0.578
CRMS0580-H02,-0.71,0.783
CRMS0581-H01,-0.88,-0.064
CRMS0583-H01,-2.57,0.048
CRMS0584-H01,0.49,0.284
CRMS0584-H03,-1.41,0.24
CRMS0587-H01,-1.14,-0.135
CRMS0587-H02,-1.54,-0.239
CRMS0588-H01,-0.17,0.098
CRMS0588-H02,0.01,0.383
CRMS0589-H01,-1.09,0.233
CRMS0590-H01,-1.39,-0.211
CRMS0593-H01,-0.43,0.224
CRMS0593-H02,-0.89,-0.097
CRMS0595-H01,-2.08,0.091
CRMS0599-H01,-1.27,0.627
CRMS0599-H02,-1.83,0.503
CRMS0600-H01,-1.74,1.973
CRMS0603-H01,-1.58,0.361
CRMS0604-H01,-2.64,-0.295
