CRMS_SITE,IDNUM,FLD_OFFICE,Group Name,Basin Name
CRMS0488,488,Lafayette,TV.01_GIWW E,TV
CRMS0489,489,Lafayette,TV.02_E Cote Blanche,TV
CRMS0490,490,Lafayette,TV.01_GIWW E,TV
CRMS0493,493,Lafayette,TV.05_Cypremort,TV
CRMS0494,494,Lafayette,TV.05_Cypremort,TV
CRMS0496,496,Lafayette,TV.02_E Cote Blanche,TV
CRMS0498,498,Lafayette,TV.08_Marsh Island SE,TV
CRMS0499,499,Lafayette,TV.09_Marsh Island NW,TV
CRMS0501,501,Lafayette,TV.11_FWB E,TV
CRMS0504,504,Lafayette,TV.09_Marsh Island NW,TV
CRMS0507,507,Lafayette,TV.11_FWB E,TV
CRMS0508,508,Lafayette,TV.11_FWB E,TV
CRMS0511,511,Lafayette,TV.07_TV Inland W,TV
CRMS0513,513,Lafayette,TV.03_TV Inland E,TV
CRMS0514,514,Lafayette,TV.07_TV Inland W,TV
CRMS0517,517,Lafayette,TV.02_E Cote Blanche,TV
CRMS0520,520,Lafayette,TV.09_Marsh Island NW,TV
CRMS0522,522,Lafayette,TV.08_Marsh Island SE,TV
CRMS0523,523,Lafayette,TV.09_Marsh Island NW,TV
CRMS0524,524,Lafayette,TV.08_Marsh Island SE,TV
CRMS0527,527,Lafayette,TV.05_Cypremort,TV
CRMS0529,529,Lafayette,TV.09_Marsh Island NW,TV
CRMS0530,530,Lafayette,TV.08_Marsh Island SE,TV
CRMS0530,530,Lafayette,TV.10_SW Pass,TV
CRMS0531,531,Lafayette,TV.07_TV Inland W,TV
CRMS0532,532,Lafayette,TV.06_Vermilion Bay,TV
CRMS0535,535,Lafayette,TV.10_SW Pass,TV
CRMS0536,536,Lafayette,TV.11_FWB E,TV
CRMS0541,541,Lafayette,TV.10_SW Pass,TV
CRMS0542,542,Lafayette,TV.03_TV Inland E,TV
CRMS0543,543,Lafayette,TV.04_Jaws,TV
CRMS0544,544,Lafayette,TV.02_E Cote Blanche,TV
CRMS0545,545,Lafayette,TV.04_Jaws,TV
CRMS0547,547,Lafayette,TV.07_TV Inland W,TV
CRMS0549,549,Lafayette,TV.06_Vermilion Bay,TV
CRMS0550,550,Lafayette,TV.04_Jaws,TV
CRMS0551,551,Lafayette,TV.01_GIWW E,TV
CRMS0552,552,Lafayette,TV.07_TV Inland W,TV
CRMS0553,553,Lafayette,ME.16_ME  W,ME
CRMS0554,554,Lafayette,ME.06_GL/WL Landbridge,ME
CRMS0556,556,Lafayette,ME.15_Grand Lake W,ME
CRMS0557,557,Lafayette,ME.05_ME N of GIWW,ME
CRMS0560,560,Lafayette,ME.04_White Lake Cons Area,ME
CRMS0562,562,Lafayette,ME.11_Little Pecan Bayou,ME
CRMS0565,565,Lafayette,ME.04_White Lake Cons Area,ME
CRMS0567,567,Lafayette,ME.05_ME N of GIWW,ME
CRMS0568,568,Lafayette,ME.04_White Lake Cons Area,ME
CRMS0570,570,Lafayette,ME.03_ME NE,ME
CRMS0571,571,Lafayette,ME.02_FWB NW,ME
CRMS0572,572,Lafayette,ME.03_ME NE,ME
CRMS0574,574,Lafayette,ME.06_GL/WL Landbridge,ME
CRMS0575,575,Lafayette,ME.17_Lacassine and Cam Pr N,ME
CRMS0576,576,Lafayette,ME.08_Pecan Island,ME
CRMS0580,580,Lafayette,ME.01_FWB SW,ME
CRMS0581,581,Lafayette,ME.10_Rockefeller W,ME
CRMS0583,583,Lafayette,ME.14_Humble Canal,ME
CRMS0584,584,Lafayette,ME.12_Lower ME River,ME
CRMS0587,587,Lafayette,ME.13_ME SW,ME
CRMS0588,588,Lafayette,ME.12_Lower ME River,ME
CRMS0589,589,Lafayette,ME.10_Rockefeller W,ME
CRMS0590,590,Lafayette,ME.15_Grand Lake W,ME
CRMS0593,593,Lafayette,ME.05_ME N of GIWW,ME
CRMS0595,595,Lafayette,ME.06_GL/WL Landbridge,ME
CRMS0599,599,Lafayette,ME.09_Rockefeller E,ME
CRMS0600,600,Lafayette,ME.09_Rockefeller E,ME
CRMS0603,603,Lafayette,ME.11_Little Pecan Bayou,ME
CRMS0604,604,Lafayette,ME.11_Little Pecan Bayou,ME
CRMS0605,605,Lafayette,ME.14_Humble Canal,ME
CRMS0608,608,Lafayette,ME.10_Rockefeller W,ME
CRMS0609,609,Lafayette,ME.09_Rockefeller E,ME
CRMS0610,610,Lafayette,ME.09_Rockefeller E,ME
CRMS0614,614,Lafayette,ME.10_Rockefeller W,ME
CRMS0615,615,Lafayette,ME.10_Rockefeller W,ME
CRMS0616,616,Lafayette,ME.02_FWB NW,ME
